In Java's regular expressions, '\d' looks for __	digits	
<span style=" font-style: normal; font-weight: normal;">An overriding method cannot throw a narrower exception than the method it's overriding. T/F</span>	false<br /><br />An overriding method cannot throw a broader exception than the method it's overriding	
The 'finally' block always executes when the 'try' block exits. T/F	true	
<span style=" font-style: normal; font-weight: normal;">The 'finally' block only executes when an exception is thrown in the 'try' block. T/F</span>	false<br /><br />'finally' will execute when a 'try' block exits, whether an exception is thrown or not	
If there is a 'return' statement in a 'try' block, the 'finally' block will be skipped and not execute. T/F	false<br /><br />'finally' will execute after the 'return' statement is encountered, but before 'return' executes	
<span style=" font-style: normal; font-weight: normal;">If there is a 'return' statement in a 'try' block, the 'finally' block will execute after the 'return' statement but before 'return' executes. T/F</span>	true	
<span style=" font-style: normal; font-weight: normal;">If an exception is thrown i</span>n a 'try' block, the 'finally' block executes right after the proper 'catch' block completes. T/F	true	
<span style=" font-style: normal; font-weight: normal;"><span style="font-style: normal; font-weight: normal; ">If an exception is thrown i</span>n a 'try' block, the 'finally' block executes right before the proper 'catch' block completes. T/F</span>	false<br /><br />the 'finally' block will execute right after the proper 'catch' block completes	
If you have a 'try' block, it must be followed by a 'catch' block. T/F	false<br /><br />a 'catch' or a 'finally' block must&nbsp;follow the 'try' block.	
<span style=" font-style: normal; font-weight: normal;">If you have a 'try' block, it must be followed by a 'catch' or a 'finally' block. T/F</span>	true	
Will this compile?<br /><br /><div align="left"><code><div>int x;<br />try { ... }</div><div>x = 0;<br />catch (Exception e) { ... }<div>finally { ... }</div></div></code></div>	no<br /><br />a 'catch' block must immediately follow a 'try' block	
<span style=" font-style: normal; font-weight: normal;">Will this compile?<br /><br /><div align="left"><code><div>int x;<br />try { ... }</div><div>catch (Exception e) { ... }</div><div><span style=" font-style: normal; font-weight: normal;">x = 0;</span><br /><div>finally { ... }</div></div></code></div></span>	no<div><br /></div><div>a 'finally' block must immediately follow a 'try' or a 'catch' block</div>	
<span style=" font-style: normal; font-weight: normal;">Will this compile?<br /><br /><div align="left"><code><div>int x;<br />try { ... }</div><div>catch (Exception e) { ... }</div><div><div>finally { ... }</div></div><div><!--anki--><span style=" font-style: normal; font-weight: normal;">x = 0;</span></div></code></div></span>	yes	
<span style=" font-style: normal; font-weight: normal;">Will this compile?<br /><br /><div align="left"><code><div>int x;<br />try { ... }</div><div><span style=" font-style: normal; font-weight: normal;">finally { ... }</span></div><div>catch (Exception e) { ... }</div><div><span style="font-style: normal; font-weight: normal; ">x = 0;</span></div></code></div></span>	no<br /><br />any 'catch' blocks must immediately follow the 'try' block.&nbsp;	
If the JVM exits while a 'try' or 'catch' block is being executed, the finally block may not execute. T/F	true	
<span style=" font-style: normal; font-weight: normal;">If the JVM exits while a 'try' or 'catch' block is being executed, the finally block will still execute. T/F</span>	false<br /><br />if the JVM exits inside of a 'try' or 'catch' block, the finally block is not guaranteed to execute	
If a thread executing a 'try' or 'catch' block is interrupted or killed, the finally block will still execute. T/F	false<br /><br />if a thread executing a 'try' or 'catch' block is interrupted or killed, the finally block is not guaranteed to execute.	
<span style=" font-style: normal; font-weight: normal;">If a thread executing a 'try' or 'catch' block is interrupted or killed, the finally block is not guaranteed to execute. T/F</span>	true	
<div>What does this function return?</div><div><br /></div><div align="left"><code><div>public static int Stupid() {</div><div>&nbsp;&nbsp;try {</div><div>&nbsp;&nbsp; &nbsp;return 0;</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;finally {</div><div>&nbsp;&nbsp; &nbsp;return 1;</div><div>&nbsp;&nbsp;}</div><div>}</div></code></div>	1	
'Exception' is a superclass of 'Error'. T/F	false<div><br /></div><div>it is not</div>	
'Error' is a superclass of 'Exception'. T/F	<div>false</div><div><br /></div>it is not	
<span style=" font-style: normal; font-weight: normal;">'Exception' is a subclass of 'Error'. T/F</span>	false<div><br /></div><div>it is not</div>	
<span style=" font-style: normal; font-weight: normal;">'Error' is a subclass of 'Exception'. T/F</span>	false<div><br /></div><div><span style=" font-style: normal; font-weight: normal;">it is not</span></div>	
<div><br><div>What does this function return?</div><br><div align="left"><code><br><div><br /></div><br><div>public static int Stupid() {</div><br><div>&nbsp;&nbsp;try {</div><br><div>&nbsp;&nbsp;&nbsp;System.exit(0);</div><br><div>&nbsp;&nbsp;}</div><br><div>&nbsp;&nbsp;finally {</div><br><div>&nbsp;&nbsp; &nbsp;return 1;</div><br><div>&nbsp;&nbsp;}</div><br><div>}</div><br></code></div><br></div>	This function does not return anything. The JVM is shut down before the 'return' statement executes.	
'Error' is a subclass of 'Throwable'. T/F	true	
<span style=" font-style: normal; font-weight: normal;">'Exception' is a subclass of 'Throwable'. T/F</span>	true	
<div>Does this compile?</div><div><br /></div><div align="left"><code><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;int i = 1;</div><div>&nbsp;&nbsp; &nbsp;assert(i &gt; 0);</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;static void go() { }</div><div>}</div></code></div>	yes	
<div>Does this compile?</div><div><br /></div><div align="left"><code><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;int i = 1;</div><div>&nbsp;&nbsp; &nbsp;assert(i &gt; 0): "hi";</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;static void go() { }</div><div>}</div></code></div>	yes	
<div>Does this compile?</div><div><br /></div><div align="left"><code><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;int i = 1;</div><div>&nbsp;&nbsp; &nbsp;assert(i &gt; 0): i=2;</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;static void go() { }</div><div>}</div></code></div>	yes	
<div>Does this compile?</div><div><br /></div><div align="left"><code><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;int i = 1;</div><div>&nbsp;&nbsp; &nbsp;assert(i &gt; 0): go();</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;static void go() { }</div><div>}</div></code></div>	no<br /><br />When an 'assert' has two expressions, the second expression must return a value.	
<div>Does this compile?</div><div><br /></div><div align="left"><code><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;int i = 1;</div><div>&nbsp;&nbsp; &nbsp;assert(i &gt; 0): new Example();</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;static void go() { }</div><div>}</div></code></div>	yes	
What package must be imported to throw an 'IOException'?	java.io	
An overriding method can throw RuntimeExceptions not thrown by the overridden method. T/F	true	
<span style=" font-style: normal; font-weight: normal;">An overriding method cannot throw RuntimeExceptions not thrown by the overridden method. T/F</span>	false<div><br /></div><div>An overridding method can throw RuntimeExceptions not thrown by the overridden method</div>	
All collections in the Collections Framework implement the Collection interface. T/F	false<br /><br />none of the Map-related classes and interfaces extend from the Collection interface	
<span style=" font-style: normal; font-weight: normal;">Not all collections in the Collections Framework implement the Collection interface. T/F</span>	true	
A collection ordered by insertion, access or index is not always considered a sorted collection. T/F	true	
<span style=" font-style: normal; font-weight: normal;">A collection ordered by insertion, access or index is always considered a sorted collection. T/F</span>	false<div><br /></div><div>insertion, access or index order is not a sort order.</div>	
<div>What is the type of what is returned from the indicated line of code below?<br /><br /></div><div align="left"><code><div>import java.util.ArrayList;</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;ArrayList l = new ArrayList();</div><div>&nbsp;&nbsp; &nbsp;int x = 8;</div><div>&nbsp;&nbsp; &nbsp;l.add(0, x);</div><div>&nbsp;&nbsp; &nbsp;l.get(0); // this line here</div><div>&nbsp;&nbsp;}</div><div>}</div></code></div>	Integer<br /><br />not int because collections cannot hold primitives. The int is autoboxed to an Integer in the 'add' method.<br />	
A method that overrides the 'equals' method must take an argument of type Object. T/F	true	
<span style=" font-style: normal; font-weight: normal;">A method that overrides the 'equals' method must take an argument of type that is the same as the object being compared to. T/F</span>	false<br /><br />A method that overrides the 'equals' method must take an argument of type Object.	
A method that overrides the 'compareTo' method must take an argument of type Object. T/F	false<br /><br />A method that overrides the 'compareTo'' method should take an argument of type that is the same as the object being compared to.	
<span style=" font-style: normal; font-weight: normal;">A method that overrides the 'compareTo' method must take an argument of type that is the same as the object being compared to. T/F</span>	true<br />	
If you have a custom object and you want objects of your class to be keys for a hastable (to create an identical object and use it to search), you must ...	override 'equals' so that two different instances can be considered the same.	
The four types of Collections are ...	Lists, Sets, Maps and Queues	
A Collection can be sorted but unordered. T/F	false<br /><br />sorted order is specific type of ordering	
<span style=" font-style: normal; font-weight: normal;">A Collection can never be sorted but unordered. T/F</span>	true	
When a collection is ordered, it means ...	you can iterate through the collection in a specific (not-random) order.	
When a Collection is sorted, it means ...	the order is determined according to some rule or rules (sort order).	
Will this line of code compile?<br /><br /><code>List&lt;List&lt;Integer&gt;&gt; t = new ArrayList&lt;ArrayList&lt;Integer&gt;&gt;();</code>	no.<br /><br />The type argument <code>&lt;List&lt;Integer&gt;&gt;</code> must be the same for both sides of the assignment, even though the constructor <code>new ArrayList()</code> on the right side is a subtype of the declared List on the left.	
<span style=" font-style: normal; font-weight: normal;">Will this line of code compile?<br /><br /><code>List&lt;List&lt;Integer&gt;&gt; t = new ArrayList&lt;List&lt;Integer&gt;&gt;();</code></span>	yes	
Given two instances of the same class where equals() and hashcode() are properly overriden,<br /><br />If comparing the two objects with equals() returns true, then the objects must have the same hashcode. T/F	true	
<span style=" font-style: normal; font-weight: normal;">Given two instances of the same class where equals() and hashcode() are properly overriden,<br /><br />If comparing the two objects with equals() returns false, then the objects will not have the same hashcode. T/F</span>	false<br /><br />Two objects that do not equals() may have the same hashcode.	
<span style=" font-style: normal; font-weight: normal;">Given two instances of the same class where equals() and hashcode() are properly overriden,<br /><br />If comparing the two objects with equals() returns false, then the objects may have the same hashcode. T/F</span>	true	
<span style=" font-style: normal; font-weight: normal;">Given two instances of the same class where equals() and hashcode() are properly overriden,<br /><br />If comparing the two objects with equals() returns true, then the objects may have the same hashcode. T/F</span>	false<br /><br />if two objects equals() true, they MUST have the same hashcode.	
<span style=" font-style: normal; font-weight: normal;">Given two instances of the same class where equals() and hashcode() are properly overriden,<br /><br />If comparing the two objects with hashcode() returns true, then comparing the objects with equals() must return true. T/F</span>	false<div><br /></div><div>If the hashcodes of two objects are equal, comparing the objects with equals() may return true.</div>	
<span style=" font-style: normal; font-weight: normal;">Given two instances of the same class where equals() and hashcode() are properly overriden,<br /><br />If comparing the two objects with hashcode() returns true, then comparing the objects with equals() may return true. T/F</span>	true	
<span style=" font-style: normal; font-weight: normal;">Given two instances of the same class where equals() and hashcode() are properly overriden,<br /><br />If comparing the two objects with hashcode() returns false, then comparing the objects with equals() may return true. T/F</span>	false<div><br /></div><div>if the hashcodes are not equal, the objects can not be equal.</div>	
